"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2014-08-28,"SANTANDER","FLORIDABLANCA",0.001,"KILOGRAMO",7.079704598,-73.0679925
2014-08-28,"TOLIMA","GUAMO",0.1666,"KILOGRAMO",4.076501341,-74.97657287
2014-08-28,"ANTIOQUIA","CIUDAD BOLIVAR",0.004,"KILOGRAMO",5.840995666,-76.01065253
2014-08-28,"NARIÑO","BARBACOAS",0.021,"KILOGRAMO",1.44563774,-78.15621072
2014-08-28,"NARIÑO","SAN ANDRES DE TUMACO",0.01,"KILOGRAMO",1.574550638,-78.61540963
2014-08-29,"VENEZUELA","VENEZUELA",368,"KILOGRAMO",6.4238,-66.5897
2014-08-29,"ATLANTICO","CAMPO DE LA CRUZ",0.086,"KILOGRAMO",10.38405079,-74.88466039
2014-08-29,"RISARALDA","PEREIRA",0.01,"KILOGRAMO",4.803662773,-75.79579093
2014-08-29,"ANTIOQUIA","AMALFI",0.004,"KILOGRAMO",6.977788843,-74.9812393
2014-08-29,"ANTIOQUIA","ANDES",0.029,"KILOGRAMO",5.604993248,-75.94128391
2014-08-29,"ANTIOQUIA","ANDES",0.029,"KILOGRAMO",5.604993248,-75.94128391
2014-08-29,"CORDOBA","AYAPEL",0.3,"KILOGRAMO",8.265768688,-75.04868436
2014-08-29,"ANTIOQUIA","BETANIA",0.005,"KILOGRAMO",5.727081285,-75.98689107
2014-08-29,"CORDOBA","MONTERIA",0.002,"KILOGRAMO",8.584698016,-75.95055079
2014-08-29,"QUINDIO","ARMENIA",0.61,"KILOGRAMO",4.499501128,-75.72489985
2014-08-29,"ATLANTICO","MALAMBO",0.016,"KILOGRAMO",10.84828864,-74.80617555
2014-08-29,"NORTE DE SANTANDER","CHINACOTA",0.0022,"KILOGRAMO",7.583353136,-72.58390978
2014-08-29,"ANTIOQUIA","CIUDAD BOLIVAR",0.002,"KILOGRAMO",5.840995666,-76.01065253
2014-08-29,"ANTIOQUIA","COCORNA",0.002,"KILOGRAMO",6.005593074,-75.16015403
2014-08-29,"CHOCO","SAN JOSE DEL PALMAR",0.015,"KILOGRAMO",4.958741345,-76.28002361
2014-08-29,"QUINDIO","CALARCA",0.001,"KILOGRAMO",4.467879428,-75.65674719
